Env,Rep,Best 50-ep Mean,Final 50-ep Mean,Gap Mean
halfcheetah,A,48.554133520045596,48.441373988001516,0.11275953204408751
halfcheetah,B,48.3722767061685,48.169186757929175,0.2030899482393238
hopper,A,64.30364316213104,49.98138378091952,14.322259381211506
hopper,B,49.61339410606584,29.12904116628161,20.484352939784223
walker2d,A,85.80162763111142,79.48601772314953,6.315609907961882
walker2d,B,85.73090790751492,85.69120796378407,0.039699943730855836
